Parameter, Min, Max, Type, Constant (C) or Evolving with time (E)
N, 5000, NA, Discrete, E
size.of.timestep, 1, NA, Discrete, C
NETWORK PARAMETERS, , , , 
Number of edges, 2500, Type, Discrete, E
Degree 0, 1800, NA, Discrete, E
Degree 1, , NA, Discrete, E
Degree 2, , NA, Discrete, E
..., , NA, Discrete, E
Mean partnership duration, 730, NA, Discrete, C
DEMOGRAPHIC PARAMETERS, , , ,
Age, 16 years, 65 years, Discrete, C
Duration of Infection by Age, 10 years, NA, Discrete, C
Daily Entry Rate, 0.001, --, Discrete, C (free parameter -- might need more experimentation)
Age Specific Mortality Rates, , , , C (not yet in model)
BIOLOGICAL, , , ,
Male Circumcision (%), 10% (for experimentation purposes - will need to classify by city), NA, Discrete, C 
